accommodationId,accommodationName,addr1,addr2,addr3,addrNew,homepage,phoneNo,repName
104642,루키엘스파펜션,경기,가평군,북면,북면 화악지암길 212-80,casapepe.kr/,010-****-**90,강*리
104649,지아니펜션,강원특별자치도,강릉시,강동면,강동면 정동3길 32-11,지아니펜션.kr,010-****-**70,최*화
104650,첼레스떼펜션,경남,거제시,동부면,동부면 고촌길 29-1,www.celestepension.com/,010-****-**58,김*령
104651,해남녹두펜션,전남,해남군,문내면,문내면 지중해길 47,peongsuri.com/h/hnmnokdu/mobile/,010-****-**44,안*석
104656,경주감성숙소 소예스테이 펜션,경북,경주시,외동읍,외동읍 신계길 47-14,soyestay.imweb.me/,010-****-**69,박*재
104657,포시즌황매산호스텔&펜션,경남,합천군,가회면,가회면 황매산공원길 107-28,hms-hostel.kr,010-****-**80,신*기
104658,추월산 별무리,전남,담양군,용면,용면 월계길 37-12,www.xn--oy2b11aj8azxhtrjhqk.com/,010-****-**88,양*호
104659,여수남파랑캠비치카라반,전남,여수시,화양면,화양면 연말길 46,yeosucambeach,010-****-**16,박*희
104660,서천 마량빌콘도형펜션,충남,서천군,서면,서면 서인로317번길 23 (마량빌),,010-****-**11,이*민
104661,언덕집펜션,경기,양평군,용문면,용문면 망능길 14,/www.instagram.com/unduckzeep,010-****-**79,황*익
104662,밀양 마추피추펭글루,경남,밀양시,산외면,산외면 밀양대로 3400-147,naver.me/FJbjFQgU,010-****-**64,김*건
104663,솔즈베리풀빌라&아웃도어리빙룸,강원특별자치도,고성군,토성면,토성면 용암길 120-2,www.salisbury.co.kr,010-****-**00,김*희
104664,화이트하우스,경북,청도군,화양읍,화양읍 진라1길 48-17,www.instagram.com/cd.whitehouse/,010-****-**62,전*희
104665,해남등대펜션,전남,해남군,화원면,화원면 매봉길 575,kbs1.kr/h/hnmdeung/,010-****-**96,이*연
104669,삼척바닷길펜션,강원특별자치도,삼척시,근덕면,근덕면 삼척로 2187,searoadps.kr/index.html,010-****-**87,김*석
104670,화순 아델캐슬풀빌라,전남,화순군,도곡면,도곡면 지강로 459-1,adelcastle01.bizonworks.com/,010-****-**57,이*민
104671,라온포레키즈풀빌라,경기,가평군,북면,북면 가화로 2388-20,raonforet.kr/,010-****-**72,김*재
104672,지리산하동풀잎하우스,경남,하동군,청암면,청암면 청학로 1605-17,pension24.co.kr/h/puliphouse/,010-****-**74,김*숙
104673,하이브빌리지,경기,남양주시,수동면,수동면 모꼬지로 198-106,www.instagram.com/hive_village,010-****-**00,노*형
104674,더클래식 리조트,경북,영덕군,영덕읍,영덕읍 영덕대게로 625-292,ydtheclassic.com/,010-****-**05,이*우
104675,광안브리즈가든,부산,수영구,광안동,남천바다로33번길 72 (광안동),www.instagram.com/gwangan_breezegarden,010-****-**60,손*한
104676,캠프하우스,경북,경주시,양남면,양남면 동해안로 415-3,https://www.airbnb.co.kr/hosting/listings/editor/917648799784266284/details/photo-tour,166-***-60,김*종
